Ticket_ID,Created_Date,Resolved_Date,Case_Category,Priority,Status,Assigned_Team,Assigned_Region,SLA_Target_Hours
TKT-001,24-03-2026,28-03-2026,Escalation,P4-Low,In Progress,Beta,APAC,4
TKT-002,27-02-2026,28-02-2026,Payments,P3-Medium,Resolved,Delta,East,8
TKT-003,20-05-2026,24-05-2026,Title,P2-High,Resolved,Alpha,West,24
TKT-004,10-01-2026,14-01-2026,Escalation,P3-Medium,Open,Alpha,West,4
TKT-005,19-05-2026,22-05-2026,Payments,P2-High,Resolved,Gamma,APAC,48
TKT-006,06-03-2026,12-03-2026,Technical,P1-Critical,Resolved,Gamma,EMEA,48
TKT-007,23-03-2026,24-03-2026,Escalation,P4-Low,Closed,Beta,Central,24
TKT-008,18-04-2026,20-04-2026,Technical,P2-High,Resolved,Delta,Central,48
TKT-009,05-02-2026,06-02-2026,Escalation,P4-Low,Pending Stakeholder,Beta,East,4
TKT-010,04-04-2026,,Escalation,P4-Low,In Progress,Alpha,West,24
TKT-011,29-05-2026,05-06-2026,Escalation,P4-Low,Resolved,Alpha,APAC,48
TKT-012,24-02-2026,25-02-2026,Technical,P4-Low,In Progress,Gamma,East,4
TKT-013,02-04-2026,,Technical,P4-Low,Open,Delta,East,24
TKT-014,11-04-2026,16-04-2026,Technical,P3-Medium,Closed,Gamma,Central,8
TKT-015,11-04-2026,,Payments,P3-Medium,In Progress,Alpha,APAC,4
TKT-016,20-03-2026,,Licensing,P3-Medium,In Progress,Alpha,APAC,48
TKT-017,17-05-2026,,Licensing,P2-High,Pending Stakeholder,Alpha,EMEA,8
TKT-018,08-05-2026,12-05-2026,Title,P1-Critical,In Progress,Gamma,EMEA,8
TKT-019,14-02-2026,23-02-2026,Technical,P4-Low,Closed,Gamma,East,48
TKT-020,14-04-2026,23-04-2026,Escalation,P3-Medium,Pending Stakeholder,Delta,APAC,8
TKT-021,17-05-2026,20-05-2026,Licensing,P4-Low,Resolved,Delta,EMEA,24
TKT-022,28-04-2026,30-04-2026,Technical,P1-Critical,Closed,Beta,Central,48
TKT-023,17-02-2026,22-02-2026,Title,P1-Critical,Closed,Delta,APAC,8
TKT-024,01-01-2026,04-01-2026,Licensing,P3-Medium,Closed,Alpha,APAC,24
TKT-025,08-01-2026,16-01-2026,Payments,P4-Low,Open,Beta,APAC,4
TKT-026,12-01-2026,22-01-2026,Title,P1-Critical,Closed,Gamma,East,24
TKT-027,01-02-2026,03-02-2026,Technical,P3-Medium,Pending Stakeholder,Delta,East,4
TKT-028,18-02-2026,,Licensing,P1-Critical,Pending Stakeholder,Delta,APAC,8
TKT-029,17-05-2026,26-05-2026,Licensing,P1-Critical,In Progress,Alpha,APAC,48
TKT-030,28-06-2026,08-07-2026,Payments,P2-High,In Progress,Delta,East,24
TKT-031,14-05-2026,19-05-2026,Licensing,P3-Medium,Closed,Delta,West,48
TKT-032,14-04-2026,17-04-2026,Technical,P3-Medium,Open,Gamma,West,4
TKT-033,29-06-2026,,Payments,P3-Medium,In Progress,Gamma,Central,24
TKT-034,22-06-2026,25-06-2026,Title,P3-Medium,Open,Alpha,West,8
TKT-035,04-03-2026,,Technical,P1-Critical,Pending Stakeholder,Gamma,East,4
TKT-036,25-03-2026,02-04-2026,Title,P4-Low,Closed,Delta,East,8
TKT-037,09-06-2026,12-06-2026,Licensing,P2-High,Closed,Beta,West,48
TKT-038,10-05-2026,,Payments,P1-Critical,Open,Gamma,EMEA,4
TKT-039,22-03-2026,30-03-2026,Licensing,P3-Medium,In Progress,Delta,Central,48
TKT-040,17-04-2026,22-04-2026,Technical,P2-High,Resolved,Gamma,Central,8
TKT-041,16-06-2026,21-06-2026,Licensing,P1-Critical,Open,Gamma,Central,4
TKT-042,13-02-2026,,Licensing,P1-Critical,Resolved,Gamma,Central,24
TKT-043,31-03-2026,,Escalation,P4-Low,Closed,Alpha,East,24
TKT-044,13-01-2026,17-01-2026,Licensing,P1-Critical,Pending Stakeholder,Gamma,West,48
TKT-045,20-05-2026,,Title,P1-Critical,Resolved,Beta,West,4
TKT-046,01-05-2026,08-05-2026,Payments,P3-Medium,Open,Beta,APAC,4
TKT-047,07-02-2026,15-02-2026,Payments,P1-Critical,Closed,Delta,Central,24
TKT-048,20-04-2026,,Licensing,P2-High,Resolved,Beta,EMEA,48
TKT-049,28-01-2026,06-02-2026,Licensing,P1-Critical,Pending Stakeholder,Delta,East,8
TKT-050,19-03-2026,,Escalation,P4-Low,Pending Stakeholder,Beta,East,4
TKT-051,01-05-2026,10-05-2026,Title,P4-Low,Pending Stakeholder,Alpha,Central,24
TKT-052,09-05-2026,,Escalation,P3-Medium,Open,Alpha,West,48
TKT-053,15-03-2026,19-03-2026,Title,P4-Low,Closed,Gamma,East,24
TKT-054,06-02-2026,,Escalation,P2-High,Open,Gamma,Central,48
TKT-055,24-05-2026,28-05-2026,Licensing,P4-Low,Closed,Delta,East,48
TKT-056,10-05-2026,17-05-2026,Licensing,P3-Medium,In Progress,Alpha,Central,24
TKT-057,25-01-2026,,Title,P1-Critical,Open,Delta,Central,4
TKT-058,06-06-2026,11-06-2026,Payments,P1-Critical,In Progress,Gamma,EMEA,48
TKT-059,27-04-2026,29-04-2026,Licensing,P2-High,Resolved,Beta,EMEA,48
TKT-060,30-04-2026,04-05-2026,Escalation,P4-Low,Closed,Beta,APAC,48
TKT-061,09-03-2026,18-03-2026,Escalation,P1-Critical,Resolved,Beta,APAC,8
TKT-062,20-04-2026,,Technical,P1-Critical,Pending Stakeholder,Beta,Central,8
TKT-063,27-06-2026,28-06-2026,Title,P4-Low,Pending Stakeholder,Delta,EMEA,8
TKT-064,26-01-2026,04-02-2026,Payments,P4-Low,Open,Delta,East,4
TKT-065,07-06-2026,13-06-2026,Escalation,P3-Medium,Closed,Gamma,Central,8
TKT-066,05-03-2026,,Technical,P2-High,In Progress,Gamma,APAC,48
TKT-067,21-05-2026,28-05-2026,Payments,P4-Low,Pending Stakeholder,Alpha,EMEA,24
TKT-068,03-02-2026,13-02-2026,Escalation,P4-Low,Closed,Gamma,APAC,24
TKT-069,20-04-2026,23-04-2026,Licensing,P1-Critical,In Progress,Beta,APAC,24
TKT-070,20-05-2026,28-05-2026,Technical,P4-Low,In Progress,Alpha,EMEA,8
TKT-071,11-01-2026,20-01-2026,Licensing,P4-Low,Pending Stakeholder,Alpha,APAC,24
TKT-072,13-05-2026,21-05-2026,Title,P4-Low,Closed,Gamma,EMEA,24
TKT-073,18-02-2026,21-02-2026,Technical,P4-Low,In Progress,Delta,West,8
TKT-074,04-05-2026,,Technical,P4-Low,Resolved,Alpha,East,24
TKT-075,05-05-2026,10-05-2026,Title,P2-High,Open,Gamma,East,48
TKT-076,29-06-2026,01-07-2026,Payments,P4-Low,Closed,Delta,APAC,4
TKT-077,21-06-2026,26-06-2026,Title,P2-High,Open,Beta,Central,48
TKT-078,11-01-2026,13-01-2026,Licensing,P4-Low,Pending Stakeholder,Gamma,West,48
TKT-079,27-04-2026,30-04-2026,Licensing,P4-Low,Resolved,Alpha,East,24
TKT-080,27-01-2026,,Payments,P1-Critical,Closed,Alpha,East,8
TKT-081,22-05-2026,29-05-2026,Title,P1-Critical,In Progress,Gamma,East,8
TKT-082,28-03-2026,,Licensing,P4-Low,Resolved,Gamma,Central,4
TKT-083,18-01-2026,25-01-2026,Title,P3-Medium,Resolved,Alpha,EMEA,48
TKT-084,18-04-2026,26-04-2026,Title,P4-Low,Resolved,Gamma,Central,24
TKT-085,18-06-2026,20-06-2026,Payments,P4-Low,Closed,Beta,APAC,8
TKT-086,08-03-2026,14-03-2026,Escalation,P3-Medium,Closed,Gamma,Central,4
TKT-087,03-04-2026,,Payments,P4-Low,Open,Alpha,East,24
TKT-088,15-01-2026,17-01-2026,Title,P3-Medium,In Progress,Alpha,APAC,24
TKT-089,24-06-2026,26-06-2026,Title,P2-High,Closed,Beta,West,8
TKT-090,19-04-2026,28-04-2026,Escalation,P4-Low,Resolved,Gamma,East,8
TKT-091,04-06-2026,07-06-2026,Payments,P2-High,Closed,Gamma,Central,24
TKT-092,28-01-2026,,Payments,P1-Critical,Pending Stakeholder,Alpha,APAC,4
TKT-093,11-03-2026,16-03-2026,Title,P1-Critical,Pending Stakeholder,Delta,EMEA,4
TKT-094,02-02-2026,10-02-2026,Payments,P1-Critical,Closed,Delta,EMEA,24
TKT-095,24-03-2026,02-04-2026,Licensing,P3-Medium,Pending Stakeholder,Gamma,APAC,24
TKT-096,18-02-2026,,Escalation,P3-Medium,Pending Stakeholder,Beta,EMEA,4
TKT-097,02-01-2026,03-01-2026,Technical,P4-Low,Closed,Alpha,Central,8
TKT-098,24-03-2026,26-03-2026,Payments,P2-High,In Progress,Delta,Central,48
TKT-099,23-06-2026,03-07-2026,Technical,P4-Low,Resolved,Beta,APAC,24
TKT-100,04-01-2026,08-01-2026,Technical,P1-Critical,Open,Alpha,APAC,4
TKT-101,17-06-2026,,Escalation,P1-Critical,Open,Delta,East,8
TKT-102,01-05-2026,06-05-2026,Technical,P2-High,Open,Delta,East,48
TKT-103,27-05-2026,,Payments,P3-Medium,Resolved,Alpha,Central,24
TKT-104,14-06-2026,,Title,P2-High,Closed,Gamma,Central,48
TKT-105,17-04-2026,22-04-2026,Technical,P3-Medium,Closed,Alpha,West,24
TKT-106,03-04-2026,,Payments,P1-Critical,In Progress,Delta,EMEA,24
TKT-107,12-02-2026,19-02-2026,Payments,P1-Critical,Pending Stakeholder,Beta,EMEA,24
TKT-108,04-06-2026,14-06-2026,Title,P2-High,Resolved,Delta,Central,4
TKT-109,10-04-2026,,Licensing,P2-High,Resolved,Gamma,Central,24
